second,speed
0,0.69
1,3.58
2,6.89
3,8.88
4,10.78
5,12.63
6,14.77
7,17.19
8,19.3
9,20.92
10,22.26
11,23.44
12,24.36
13,25.03
14,25.41
15,25.93
16,26.26
17,26.43
18,26.67
19,26.87
20,27.08
21,27.27
22,27.35
23,27.22
24,27.17
25,27.21
26,27.11
27,27.05
28,27.07
29,27.11
30,27.05
31,27.07
32,27.4
33,27.77
34,27.96
35,28.02
36,27.98
37,28.06
38,28.19
39,28.39
40,28.39
41,28.4
42,28.47
43,28.42
44,28.41
45,19.36
46,19.36
47,19.36
48,19.36
49,19.36
50,19.36
51,19.36
52,19.36
53,19.36
54,19.36
55,19.36
56,19.36
57,19.36
58,19.36
59,19.36
60,19.36
61,19.36
62,19.36
63,19.36
64,19.36
65,19.36
66,19.36
67,19.36
68,19.36
69,19.36
70,19.36
71,19.36
72,19.36
73,19.36
74,19.36
75,19.36
76,19.36
77,19.36
78,19.36
79,19.36
80,19.36
81,19.36
82,19.36
83,19.36
84,19.36
85,19.36
86,19.36
87,19.36
88,27.09
89,26.84
90,26.26
91,26.22
92,26.75
93,27.19
94,27.35
95,27.66
96,27.83
97,27.86
98,27.86
99,27.86
100,27.86
101,27.19
102,27.35
103,27.66
104,27.83
105,27.86
106,27.93
107,27.98
108,27.85
109,27.35
110,26.84
111,26.58
112,25.97
113,24.26
114,23.61
115,23.63
116,24.21
117,24.8
118,25.31
119,25.67
120,19.45
121,19.45
122,19.45
123,19.45
124,19.45
125,19.45
126,19.45
127,19.45
128,19.45
129,19.45
130,19.45
131,19.45
132,19.45
133,19.45
134,19.45
135,19.45
136,19.45
137,19.45
138,19.45
139,19.45
140,19.45
141,19.45
142,19.45
143,19.45
144,19.45
145,19.45
146,19.45
147,19.45
148,19.45
149,19.45
150,19.45
151,19.45
152,19.45
153,19.45
154,19.45
155,26.95
156,27.09
157,27.13
158,26.87
159,26.4
160,26.24
161,26.03
162,26.53
163,27.1
164,27.47
165,27.49
166,27.43
167,27.46
168,27.34
169,26.99
170,26.62
171,25.3
172,23.88
173,24.6
174,25.44
175,25.91
176,26.11
177,26.11
178,26.54
179,27.22
180,27.22
181,27.37
182,26.75
183,26.91
184,26.95
185,27.21
186,27.36
187,27.25
188,26.97
189,26.68
190,18.98
191,18.98
192,18.98
193,18.98
194,18.98
195,18.98
196,18.98
197,18.98
198,18.98
199,18.98
200,18.98
201,18.98
202,18.98
203,18.98
204,18.98
205,18.98
206,18.98
207,18.98
208,18.98
209,18.98
210,18.98
211,18.98
212,18.98
213,18.98
214,18.98
215,18.98
216,28.18
217,28.52
218,28.37
219,27.83
220,27.74
221,27.81
222,27.95
223,28.06
224,27.89
225,27.75
226,27.71
227,27.86
228,27.31
229,27.31
230,27.31
231,26.4
232,25.25
233,24.27
234,23.72
235,23.78
236,24.31
237,25.89
238,17.34
239,17.34
240,17.34
241,17.34
242,17.34
243,17.34
244,17.34
245,17.34
246,17.34
247,17.34
248,17.34
249,17.34
250,17.34
251,17.34
252,17.34
253,17.34
254,17.34
255,17.34
256,17.34
257,17.34
258,17.34
259,17.34
260,17.34
261,17.34
262,17.34
263,17.34
264,17.34
265,17.34
266,17.34
267,17.34
268,17.34
269,17.34
270,17.34
271,26.04
272,26.51
273,26.86
274,27.07
275,27.29
276,27.55
277,28.01
278,28.55
279,28.78
280,28.62
281,28.57
282,28.3
283,28.08
284,27.42
285,27.04
286,26.07
287,24.3
288,22.35
289,21.25
290,20.91
291,21.11
292,21.85
293,22.39
294,23.15
295,23.88
296,24.4
297,24.88
298,25.13
299,24.82
300,24.83
301,25.04
302,25.29
303,25.37
304,25.59
305,26.03
306,26.61
307,27.09
308,24.82
309,24.83
310,24.83
311,24.83
312,24.83
313,24.83
314,24.83
315,24.83
316,24.83
317,25.04
318,25.29
319,25.37
320,25.59
321,26.03
322,26.61
323,27.31
324,27.5
325,19.55
326,19.55
327,19.55
328,19.55
329,19.55
330,19.55
331,19.55
332,19.55
333,19.55
334,19.55
335,19.55
336,19.55
337,19.55
338,19.55
339,19.55
340,19.55
341,19.55
342,19.55
343,19.55
344,19.55
345,19.55
346,19.55
347,19.55
348,19.55
349,19.55
350,19.55
351,19.55
352,19.55
353,19.55
354,19.55
355,27.56
356,27.48
357,27.07
358,26.63
359,26.67
360,27.01
361,27.29
362,27.39
363,27.39
364,27.39
365,27.57
366,27.62
367,27.56
368,27.56
369,27.46
370,27.34
371,27.15
372,27.01
373,26.81
374,26.59
375,26.49
376,18.38
377,18.38
378,18.38
379,18.38
380,18.38
381,18.38
382,18.38
383,18.38
384,18.38
385,18.38
386,18.38
387,18.38
388,18.38
389,18.38
390,18.38
391,18.38
392,18.38
393,18.38
394,18.38
395,18.38
396,18.38
397,18.38
398,18.38
399,18.38
400,18.38
401,18.38
402,18.38
403,18.38
404,26.13
405,26.13
406,26.13
407,26.13
408,26.13
409,26.13
410,26.13
411,26.13
412,26.13
413,26.13
414,26.13
415,26.13
416,26.13
417,26.13
418,26.13
419,26.13
420,26.13
421,26.13
422,26.13
423,26.13
424,26.13
425,26.13
426,26.13
427,16.56
428,14.09
429,11.72
430,9.56
431,8.06
432,7.36
433,5.91
434,3.99
435,1.76
436,0.33
